[INFO] 2025-12-04 10:14:32,024 Запрос пришёл: /admin/myapp/product/
[INFO] 2025-12-04 10:14:32,077 Ответ готов: 200
[INFO] 2025-12-04 10:14:32,078 время обработки запроса = 0.0536961555480957
[INFO] 2025-12-04 10:14:33,335 Запрос пришёл: /admin/myapp/product/
[INFO] 2025-12-04 10:14:33,403 Ответ готов: 302
[INFO] 2025-12-04 10:14:33,404 время обработки запроса = 0.06870317459106445
[INFO] 2025-12-04 10:14:33,415 Запрос пришёл: /admin/myapp/product/
[INFO] 2025-12-04 10:14:33,476 Ответ готов: 200
[INFO] 2025-12-04 10:14:33,476 время обработки запроса = 0.06124520301818848
[INFO] 2025-12-04 10:14:33,584 Запрос пришёл: /admin/jsi18n/
[INFO] 2025-12-04 10:14:33,642 Ответ готов: 200
[INFO] 2025-12-04 10:14:33,642 время обработки запроса = 0.05820584297180176
[INFO] 2025-12-04 10:14:38,029 Запрос пришёл: /admin/myapp/product/add/
[INFO] 2025-12-04 10:14:38,164 Ответ готов: 200
[INFO] 2025-12-04 10:14:38,164 время обработки запроса = 0.134901762008667
[INFO] 2025-12-04 10:14:38,240 Запрос пришёл: /admin/jsi18n/
[INFO] 2025-12-04 10:14:38,290 Ответ готов: 200
[INFO] 2025-12-04 10:14:38,290 время обработки запроса = 0.04982113838195801
[INFO] 2025-12-04 10:15:03,005 Запрос пришёл: /admin/myapp/product/add/
[INFO] 2025-12-04 10:15:03,066 Ответ готов: 302
[INFO] 2025-12-04 10:15:03,067 время обработки запроса = 0.061447858810424805
[INFO] 2025-12-04 10:15:03,080 Запрос пришёл: /admin/myapp/product/
[INFO] 2025-12-04 10:15:03,129 Ответ готов: 200
[INFO] 2025-12-04 10:15:03,129 время обработки запроса = 0.04926562309265137
